,OBJECTID,NAME_0,NAME_1,NAME_2,Shape_Area,bngy,psgc_bgy,bldg count,POIs,roads,lslide_suscep,lslide_intensity,ndvi_mean,ntl_mean,pop_total,settlements
0,71375,Pilipinas,Agusan del Norte,Butuan City,0.00095739825,Mandamo,160202064,0,0,11,None,Not Susceptible,8344.518134715021,0.182355932007402,965.5627721689681,47.0
1,71388,Pilipinas,Agusan del Norte,Butuan City,0.00057124612,Dankias,160202036,2,1,38,None,Not Susceptible,7310.7543859649095,0.253161289518879,1262.49468661916,267.0
2,74106,Pilipinas,Agusan del Norte,Butuan City,0.00105676728,Baobaoan,160202018,236,1,39,None,Not Susceptible,5831.198941798941,0.349666668723027,1660.25680055043,430.0
3,74108,Pilipinas,Agusan del Norte,Butuan City,0.00237006167,Anticala,160202008,0,0,1,Medium,MMI-9,6297.3677248677195,0.194379562226525,3431.8066227642603,55.0
4,74189,Pilipinas,Agusan del Norte,Butuan City,0.00046151294999999997,Cabcabon,160202029,508,0,6,None,Not Susceptible,6167.71550671551,0.298964284360409,1965.3047575120602,119.0
5,74192,Pilipinas,Agusan del Norte,Butuan City,0.00035568685,Bobon,160202024,310,0,9,None,Not Susceptible,7265.234920634921,0.350800001621246,1572.24380600965,49.0
6,74193,Pilipinas,Agusan del Norte,Butuan City,0.00059708392,Banza,160202017,754,0,17,None,Not Susceptible,7151.6621129326,0.46331428374562894,3577.0682787543,138.0
7,74194,Pilipinas,Agusan del Norte,Butuan City,0.00034333285000000003,Maug,160202068,558,1,12,None,Not Susceptible,7182.55375744047,0.485000000758605,2748.22235928182,160.0
8,74622,Pilipinas,Agusan del Norte,Butuan City,0.00106161539,Sumile,160202101,8,0,19,Low,MMI-8,7688.9236760124595,0.208612901549185,1910.8316365158103,132.0
9,74104,Pilipinas,Agusan del Norte,Butuan City,0.0007654752799999999,Santo Niño,160202100,0,0,19,None,Not Susceptible,7279.55401234568,0.266919998526573,2876.39440868477,122.0
10,74129,Pilipinas,Agusan del Norte,Butuan City,0.00057281422,Los Angeles,160202056,372,0,8,None,Not Susceptible,6813.704653371321,0.256805554446247,5009.390930832371,84.0
11,74159,Pilipinas,Agusan del Norte,Butuan City,0.00066180852,Sumilihon,160202080,1970,1,48,None,Not Susceptible,6445.46296296296,0.40804877695513897,4747.70632996801,411.0
12,74167,Pilipinas,Agusan del Norte,Butuan City,0.00185564527,Pianing,160202072,18,0,11,Medium,MMI-9,6805.21318879856,0.27335964927547896,1970.6452595705102,258.0
13,74178,Pilipinas,Agusan del Norte,Butuan City,0.00048284051,Lumbocan,160202057,1698,2,46,None,Not Susceptible,5583.95366956819,0.6365333308776221,4076.4952645686208,327.0
14,74180,Pilipinas,Agusan del Norte,Butuan City,0.0007081890700000001,Taguibo,160202083,298,0,22,Low,MMI-8,7276.19082125604,0.29322222173214,3971.1973306683703,213.0
15,74181,Pilipinas,Agusan del Norte,Butuan City,0.00023594789000000002,Pagatpatan,160202097,1012,0,40,None,Not Susceptible,5844.69217687075,0.5435384534872489,4698.57371103019,120.0
16,74200,Pilipinas,Agusan del Norte,Butuan City,0.00045654238,Masao,160202067,1202,2,22,None,Not Susceptible,4815.294124922701,0.509206897225873,1710.0565535523301,268.0
